"id","status","template_id","accession_number","attempts","created_at"
468,completed,96,"517265",4,2022-07-12 09:48:38.605 +0930
446,failed,100,"517059",8,2022-07-11 09:16:38.666 +0930
467,completed,110,"517246",3,2022-07-12 09:02:57.894 +0930
442,completed,100,"516994",4,2022-07-08 14:49:35.901 +0930
443,completed,96,"516998",4,2022-07-08 14:56:40.994 +0930
400,completed,100,"516662",2,2022-07-06 14:32:32.031 +0930
416,completed,100,"516765",2,2022-07-07 11:07:27.260 +0930
453,completed,100,"517113",2,2022-07-11 11:04:30.608 +0930
445,completed,100,"517033",3,2022-07-08 16:17:26.157 +0930
444,completed,96,"517005",5,2022-07-08 15:11:08.509 +0930
455,completed,100,"517120",2,2022-07-11 11:15:48.006 +0930
